Date,Adj Close
2017-01-03,298.5
2017-01-04,321.0
2017-01-05,318.5
2017-01-06,309.0
2017-01-09,299.0
2017-01-10,299.5
2017-01-11,287.5
2017-01-12,287.0
2017-01-13,291.0
2017-01-17,287.0
2017-01-18,292.5
2017-01-19,281.0
2017-01-20,273.0
2017-01-23,276.0
2017-01-24,282.0
2017-01-25,288.5
2017-01-26,288.5
2017-01-27,282.5
2017-01-30,282.5
2017-01-31,290.5
2017-02-01,291.0
2017-02-02,294.0
2017-02-03,292.0
2017-02-06,291.5
2017-02-07,293.0
2017-02-08,296.5
2017-02-09,292.0
2017-02-10,290.0
2017-02-13,290.0
2017-02-14,293.0
2017-02-15,294.5
2017-02-16,288.0
2017-02-17,280.5
2017-02-21,279.5
2017-02-22,283.5
2017-02-23,282.0
2017-02-24,292.0
2017-02-27,317.0
2017-02-28,314.0
2017-03-01,325.5
2017-03-02,331.5
2017-03-03,345.5
2017-03-06,324.0
2017-03-07,322.5
2017-03-08,334.5
2017-03-09,337.5
2017-03-10,333.5
2017-03-13,338.0
2017-03-14,337.0
2017-03-15,341.5
2017-03-16,347.5
2017-03-17,353.0
2017-03-20,344.0
2017-03-21,330.5
2017-03-22,321.0
2017-03-23,330.5
2017-03-24,338.5
2017-03-27,340.0
2017-03-28,349.5
2017-03-29,359.5
2017-03-30,353.0
2017-03-31,360.0
2017-04-03,371.0
2017-04-04,380.5
2017-04-05,398.5
2017-04-06,404.5
2017-04-07,385.0
2017-04-10,310.0
2017-04-11,287.5
2017-04-12,282.5
2017-04-13,275.5
2017-04-17,257.5
2017-04-18,242.5
2017-04-19,250.5
2017-04-20,245.5
2017-04-21,245.5
2017-04-24,244.5
2017-04-25,249.5
2017-04-26,259.5
2017-04-27,254.0
2017-04-28,255.0
2017-05-01,250.5
2017-05-02,240.5
2017-05-03,234.5
2017-05-04,225.5
2017-05-05,233.5
2017-05-08,209.0
2017-05-09,218.5
2017-05-10,212.5
2017-05-11,214.5
2017-05-12,222.5
2017-05-15,225.5
2017-05-16,219.5
2017-05-17,209.5
2017-05-18,215.0
2017-05-19,210.5
2017-05-22,200.0
2017-05-23,196.0
2017-05-24,194.5
2017-05-25,213.5
2017-05-26,199.0
2017-05-30,192.0
2017-05-31,207.5
2017-06-01,220.0
2017-06-02,230.5
2017-06-05,208.0
2017-06-06,205.5
2017-06-07,208.0
2017-06-08,213.0
2017-06-09,214.5
2017-06-12,217.0
2017-06-13,216.5
2017-06-14,225.0
2017-06-15,224.0
2017-06-16,267.5
2017-06-19,267.0
2017-06-20,273.5
2017-06-21,290.0
2017-06-22,286.5
2017-06-23,285.5
2017-06-26,284.5
2017-06-27,284.0
2017-06-28,286.0
2017-06-29,267.5
2017-06-30,263.5
2017-07-03,272.5
2017-07-05,268.5
2017-07-06,230.0
2017-07-07,250.5
2017-07-10,240.0
2017-07-11,249.5
2017-07-12,250.0
2017-07-13,278.5
2017-07-14,281.5
2017-07-17,263.0
2017-07-18,263.0
2017-07-19,267.5
2017-07-20,268.5
2017-07-21,284.5
2017-07-24,294.5
2017-07-25,287.5
2017-07-26,295.0
2017-07-27,271.0
2017-07-28,281.0
2017-07-31,282.5
2017-08-01,272.0
2017-08-02,278.5
2017-08-03,263.0
2017-08-04,260.0
2017-08-07,268.0
2017-08-08,267.0
2017-08-09,278.5
2017-08-10,283.5
2017-08-11,283.0
2017-08-14,289.0
2017-08-15,291.0
2017-08-16,297.0
2017-08-17,313.5
2017-08-18,300.5
2017-08-21,297.5
2017-08-22,302.0
2017-08-23,296.5
2017-08-24,306.0
2017-08-25,296.5
2017-08-28,303.5
2017-08-29,300.0
2017-08-30,301.5
2017-08-31,300.0
2017-09-01,297.5
2017-09-05,318.0
2017-09-06,322.5
2017-09-07,345.5
2017-09-08,330.5
2017-09-11,326.5
2017-09-12,321.0
2017-09-13,326.5
2017-09-14,326.0
2017-09-15,330.0
2017-09-18,332.5
2017-09-19,316.0
2017-09-20,315.5
2017-09-21,311.5
2017-09-22,308.5
2017-09-25,303.0
2017-09-26,264.5
2017-09-27,271.0
2017-09-28,256.0
2017-09-29,264.5
2017-10-02,258.0
2017-10-03,250.5
2017-10-04,256.5
2017-10-05,254.0
2017-10-06,250.0
2017-10-09,251.5
2017-10-10,244.0
2017-10-11,241.0
2017-10-12,234.0
2017-10-13,229.0
2017-10-16,242.5
2017-10-17,243.0
2017-10-18,240.0
2017-10-19,242.5
2017-10-20,255.0
2017-10-23,247.0
2017-10-24,250.0
2017-10-25,246.5
2017-10-26,228.5
2017-10-27,240.0
2017-10-30,244.0
2017-10-31,236.0
2017-11-01,231.0
2017-11-02,230.5
2017-11-03,218.0
2017-11-06,287.0
2017-11-07,278.5
2017-11-08,273.0
2017-11-09,280.5
2017-11-10,283.5
2017-11-13,295.0
2017-11-14,293.5
2017-11-15,298.5
2017-11-16,295.0
2017-11-17,292.5
2017-11-20,295.0
2017-11-21,299.5
2017-11-22,302.5
2017-11-24,299.5
2017-11-27,299.5
2017-11-28,301.0
2017-11-29,303.5
2017-11-30,315.0
2017-12-01,310.0
2017-12-04,302.0
2017-12-05,294.0
2017-12-06,290.0
2017-12-07,304.0
2017-12-08,313.0
2017-12-11,321.0
2017-12-12,340.0
2017-12-13,334.5
2017-12-14,324.0
2017-12-15,331.0
2017-12-18,329.5
2017-12-19,308.5
2017-12-20,303.0
2017-12-21,298.0
2017-12-22,292.0
2017-12-26,293.5
2017-12-27,293.0
2017-12-28,296.5
2017-12-29,302.0
2018-01-02,313.5
2018-01-03,316.5
2018-01-04,321.5
2018-01-05,321.0
2018-01-08,320.0
2018-01-09,319.5
2018-01-10,316.5
2018-01-11,312.0
2018-01-12,307.5
2018-01-16,310.5
2018-01-17,309.5
2018-01-18,308.5
2018-01-19,315.0
2018-01-22,322.5
2018-01-23,320.0
2018-01-24,315.0
2018-01-25,321.5
2018-01-26,323.0
2018-01-29,316.5
2018-01-30,308.0
2018-01-31,294.0
2018-02-01,278.0
2018-02-02,275.5
2018-02-05,268.0
2018-02-06,281.5
2018-02-07,274.0
2018-02-08,267.0
2018-02-09,270.5
2018-02-12,274.0
2018-02-13,269.0
2018-02-14,273.5
2018-02-15,276.0
2018-02-16,279.0
2018-02-20,265.5
2018-02-21,255.5
2018-02-22,250.5
2018-02-23,268.5
2018-02-26,271.0
2018-02-27,263.5
2018-02-28,250.0
2018-03-01,249.5
2018-03-02,254.5
2018-03-05,260.0
2018-03-06,253.5
2018-03-07,259.5
2018-03-08,269.0
2018-03-09,273.5
2018-03-12,267.5
2018-03-13,264.0
2018-03-14,262.0
2018-03-15,258.0
2018-03-16,262.5
2018-03-19,259.5
2018-03-20,255.0
2018-03-21,259.0
2018-03-22,250.5
2018-03-23,248.0
2018-03-26,251.0
2018-03-27,237.0
2018-03-28,252.5
2018-03-29,243.5
2018-04-02,239.5
2018-04-03,242.5
2018-04-04,257.0
2018-04-05,258.0
2018-04-06,253.0
2018-04-09,248.5
2018-04-10,258.5
2018-04-11,283.5
2018-04-12,277.0
2018-04-13,273.0
2018-04-16,276.5
2018-04-17,286.0
2018-04-18,291.0
2018-04-19,292.5
2018-04-20,285.5
2018-04-23,284.0
2018-04-24,280.5
2018-04-25,275.5
2018-04-26,278.0
2018-04-27,278.5
2018-04-30,275.0
2018-05-01,288.0
2018-05-02,294.5
2018-05-03,283.0
2018-05-04,301.0
2018-05-07,312.5
2018-05-08,309.0
2018-05-09,302.5
2018-05-10,299.0
2018-05-11,302.5
2018-05-14,297.0
2018-05-15,298.5
2018-05-16,296.0
2018-05-17,305.0
2018-05-18,315.0
2018-05-21,308.0
2018-05-22,292.5
2018-05-23,297.5
2018-05-24,304.5
2018-05-25,320.0
2018-05-29,321.5
2018-05-30,303.0
2018-05-31,295.5
2018-06-01,292.5
2018-06-04,291.0
2018-06-05,329.5
2018-06-06,359.5
2018-06-07,369.0
2018-06-08,371.0
2018-06-11,352.0
2018-06-12,349.5
2018-06-13,339.0
